ISic,As,Au,Ba,Ca,Co,Cr,Cu,Fe,Hg,K,Mn,Ni,Pb,Rb,Sr,Ti,V,Y,Zn,Zr,SiO2,TiO2,Fe2O3,MnO,CaO,K2O
t0-30CC-3,,,,,,,,,,,,,,,,,,,,,0.9782943921981161,4.1874806298359615e-05,0.004849227111352824,2.3816613698001902e-05,0.012936686059100913,0.003854003211433826
t0-40CC-1,,,,,,,,,,,,,,,,,,,,,0.966303193007343,4.787581198046794e-05,0.005218627466362909,4.1016884292701186e-05,0.024392392409234378,0.0039968944207864196
t0-40CC-2,,,,,,,,,,,,,,,,,,,,,0.9651980042686625,5.5139912541125775e-05,0.005480155152573836,3.465687611441258e-05,0.02502514460209346,0.004206899188014733
t0-40CC-3,,,,,,,,,,,,,,,,,,,,,0.9586293257327468,5.1520681603383084e-05,0.006838905690554056,4.3934399802929e-05,0.029679581868557427,0.0047567316267354415
t0-50CC-1,,,,,,,,,,,,,,,,,,,,,0.9482466579733082,5.043445437252289e-05,0.005880100645518611,3.3801746771728775e-05,0.04122561938517856,0.004563385794850526
t0-50CC-2,,,,,,,,,,,,,,,,,,,,,0.9508799837411311,4.452937481289813e-05,0.005699761832565657,3.254383686569417e-05,0.03914680070166794,0.004196380512956494
t0-50CC-3,,,,,,,,,,,,,,,,,,,,,0.9456338807281562,4.562996310946794e-05,0.006495859925771038,3.705006685405694e-05,0.04324330863996938,0.004544270676139948
t0-60CC-1,,,,,,,,,,,,,,,,,,,,,0.7908914084818132,0.00012303281571544796,0.010132637481909436,8.102480680094981e-05,0.19208289920291216,0.006688997210848747
t0-60CC-2,,,,,,,,,,,,,,,,,,,,,0.8664519972532398,5.034479170546047e-05,0.006191020311406436,4.204579858395167e-05,0.12275968485392659,0.004504906991137679
t0-60CC-3,,,,,,,,,,,,,,,,,,,,,0.8377469833421488,9.237324833329683e-05,0.007663782471819559,5.350200669599699e-05,0.14914513461398957,0.005298224317012764
t0-70CC-1,,,,,,,,,,,,,,,,,,,,,0.7601162837514188,0.00010065274084523772,0.008811796613529316,8.417382346990448e-05,0.2247693817972318,0.006117711273504964
t0-70CC-2,,,,,,,,,,,,,,,,,,,,,0.8427132232683902,7.310542941715723e-05,0.005333250116320943,6.857922925596725e-05,0.14769832976070776,0.004113512195908041
t0-70CC-3,,,,,,,,,,,,,,,,,,,,,0.8095064297389705,0.00010105458414279427,0.006975427566857285,5.087339861220289e-05,0.17850926016396482,0.004856954547452485
t0-80CC-1,,,,,,,,,,,,,,,,,,,,,0.759876223787423,0.00011166308251713208,0.006463407919735524,6.533145380088344e-05,0.2287119163035998,0.004771457452923745
t0-80CC-2,,,,,,,,,,,,,,,,,,,,,0.81466019063857,7.519407441619205e-05,0.00497281177276752,4.577327828633868e-05,0.17629553838957535,0.003950491846384752
t0-80CC-3,,,,,,,,,,,,,,,,,,,,,0.7233323027593603,7.780038100038553e-05,0.0077540891449688065,2.0437565471472833e-05,0.26378802322321615,0.00502734692598279
t0-90CC-1,,,,,,,,,,,,,,,,,,,,,0.3922597478020435,0.0001743876105659594,0.008252278826616596,5.0895331940788875e-05,0.593136096067026,0.006126594361807177
t0-90CC-2,,,,,,,,,,,,,,,,,,,,,0.7905083633577589,3.5042404930749916e-05,0.0023915016435093915,4.023032558312463e-05,0.2043982067957752,0.002626655472442526
t0-90CC-3,,,,,,,,,,,,,,,,,,,,,0.6466111225884669,0.00010184354026753189,0.00445657304107178,5.493522700714107e-06,0.34510627203928596,0.003718695268207241
t0-100CC-1,,,,,,,,,,,,,,,,,,,,,0.6976302735903384,3.6702014476591694e-05,0.00016900356127770645,3.770471627533622e-05,0.3007456325325269,0.0013806835851051767
t0-100CC-2,,,,,,,,,,,,,,,,,,,,,0.4469115736732021,6.765098118303614e-05,0.00037749178823637096,9.403893146865729e-05,0.5510191710845285,0.0015300735413813942
t0-100CC-3,,,,,,,,,,,,,,,,,,,,,0.3165695180640793,9.331884666620911e-05,0.00043110991025334443,3.56302886354202e-05,0.6809154410159476,0.0019549818744179935
0-1,,,,,,,,,,,,,,,,,,,,,0.9754783093136776,0.0001416110289814438,0.007602792708148556,7.030245494250457e-05,0.0019058749984445747,0.01480110949580546
0-2,,,,,,,,,,,,,,,,,,,,,0.9761140960523031,0.00015594324339637998,0.007478466907892849,7.243119351282765e-05,0.0018108229756576427,0.014368239627237147
0-3,,,,,,,,,,,,,,,,,,,,,0.9742691011281528,0.00015961927610558594,0.008103390026613871,7.767172072327964e-05,0.001973058852875266,0.01541715899552905
10-1,,,,,,,,,,,,,,,,,,,,,0.9484936542214901,0.00021605801653478977,0.01131277165347375,0.00010808277679402658,0.023404408172205012,0.0164650251595023
10-2,,,,,,,,,,,,,,,,,,,,,0.9510596299486682,0.000228263455828283,0.010585316372447655,9.752515608277944e-05,0.022125517608886824,0.015903747458086093
10-3,,,,,,,,,,,,,,,,,,,,,0.951256557620431,0.0002083007903975979,0.010597509622344526,8.501889497163252e-05,0.022125176731382663,0.015727436340472623
20-1,,,,,,,,,,,,,,,,,,,,,0.9281738518945315,0.0002437196431489985,0.011536543891327205,0.00010311339968979927,0.044156450095491975,0.01578632107581042
20-2,,,,,,,,,,,,,,,,,,,,,0.9315156570037588,0.00024775087245038324,0.010909209301934076,0.0001132910912443672,0.04218829674019666,0.015025794990415864
20-3,,,,,,,,,,,,,,,,,,,,,0.9334820401620941,0.00022849584703106348,0.010564060967966698,9.400597433591499e-05,0.04094152648509409,0.014689870563478032
30-1,,,,,,,,,,,,,,,,,,,,,0.8955257767239051,0.0002854325850650653,0.013340865773226318,0.00012171701710599384,0.07410844469149497,0.016617763209202333
30-2,,,,,,,,,,,,,,,,,,,,,0.912816936452933,0.0002426469438381454,0.010963161611069451,9.8377787425718e-05,0.06151258879637306,0.014366288408360432
30-3,,,,,,,,,,,,,,,,,,,,,0.9159392112135263,0.0002475948329837962,0.010381511615145427,9.658320721190347e-05,0.05968255244511689,0.01365254668601565
40-1,,,,,,,,,,,,,,,,,,,,,0.8633407089621205,0.00030886811419723485,0.011575989465131666,0.00010261377578996187,0.11047939370278222,0.014192425979978333
40-2,,,,,,,,,,,,,,,,,,,,,0.8569068746924329,0.0003098370490369401,0.0123417023597689,0.00011573824466415177,0.11570514103305421,0.014620706621042904
